# 跨級別重複收錄清單
# ---------------------------------------------------------------
# 同一個單字／文法（漢字＋假名／句型皆相同、詞義相同）出現在相鄰兩個級別時，
# 在這裡列出「較高級別」那一筆 —— build_data.py 會把它標成 "dup": true。
#
# 效果：出題池（跨級別 ALL/mix）、誘答選項、搜尋結果不再重複；
#       但該筆仍存在於 JSON、id 不變，findItem() 照常解析得到，
#       使用者既有的學習進度／錯題／收藏完全不受影響。
#
# 判定原則：只列「同形同義」的重複。同形不同義／不同詞性用法不算，維持分級收錄。
# 保留原則：保留較低級別那一筆（學習者先遇到的級別）；較豐富的釋義／詞性已合併進保留的那筆。
#
# 格式： 級別 | v(單字) 或 g(文法) | 漢字或句型 | 假名（單字填；文法留空）
# 編輯後執行： python scripts/build_data.py

N4 | g | ～ながら |
N2 | g | ～に違いない |

N3 | v | 断る | ことわる
N3 | v | 慣れる | なれる
N3 | v | 実は | じつは
N3 | v | 以上 | いじょう
N3 | v | 戻す | もどす
N3 | v | 苦しい | くるしい
N3 | v | おかしい | おかしい
N3 | v | 盛ん | さかん
N3 | v | つまり | つまり

N2 | v | 印象 | いんしょう
N2 | v | 態度 | たいど
N2 | v | 含む | ふくむ
N2 | v | 述べる | のべる
N2 | v | 主に | おもに
N2 | v | 偶然 | ぐうぜん
N2 | v | 落ち着く | おちつく
N2 | v | 順調 | じゅんちょう
N2 | v | 少なくとも | すくなくとも
N2 | v | たとえ | たとえ

N1 | v | 矛盾 | むじゅん
N1 | v | 及ぼす | およぼす
N1 | v | 妥当 | だとう
N1 | v | 柔軟 | じゅうなん
N1 | v | 乏しい | とぼしい
N1 | v | 著しい | いちじるしい
