# JLPT N2 文法（起始題庫，之後可增補）
# 格式： 句型 | 讀音 | 中文意思 | 接續結構 | 例句 | 例句假名 | 例句中譯

～において／～における |  | 「在～（場合・領域）」（正式） | 名詞＋において | 会議は東京において行われた。 | かいぎはとうきょうにおいておこなわれた。 | 會議在東京舉行。
～に関して | ～にかんして | 「關於～」（正式） | 名詞＋に関して | その件に関しては後で説明します。 | そのけんにかんしてはあとでせつめいします。 | 關於那件事稍後說明。
～をめぐって |  | 「圍繞著～（爭論・對立）」 | 名詞＋をめぐって | 建設計画をめぐって議論が続いている。 | けんせつけいかくをめぐってぎろんがつづいている。 | 圍繞建設計畫的爭論持續著。
～に基づいて | ～にもとづいて | 「根據～、以～為依據」 | 名詞＋に基づいて | 事実に基づいて記事を書く。 | じじつにもとづいてきじをかく。 | 依據事實寫報導。
～に応じて | ～におうじて | 「依～、配合～」 | 名詞＋に応じて | 収入に応じて税金を払う。 | しゅうにゅうにおうじてぜいきんをはらう。 | 依收入繳稅。
～に伴って | ～にともなって | 「隨著～」 | 名詞／動詞辭書形＋に伴って | 人口の増加に伴って問題も増えた。 | じんこうのぞうかにともなってもんだいもふえた。 | 隨著人口增加問題也增多。
～につれて |  | 「隨著～（逐漸變化）」 | 動詞辭書形／名詞＋につれて | 時間がたつにつれて、痛みは和らいだ。 | じかんがたつにつれて、いたみはやわらいだ。 | 隨時間過去，疼痛緩和了。
～とともに |  | 「與～一起、隨著～」 | 名詞／動詞辭書形＋とともに | 経済の発展とともに生活が豊かになった。 | けいざいのはってんとともにせいかつがゆたかになった。 | 隨經濟發展生活變富裕。
～わけにはいかない |  | 「不能～（因道理・情義）」 | 動詞辭書形＋わけにはいかない | 約束したから、行かないわけにはいかない。 | やくそくしたから、いかないわけにはいかない。 | 答應了，不能不去。
～ざるを得ない | ～ざるをえない | 「不得不～」 | 動詞ない形（去ない）＋ざるを得ない | 台風なので中止せざるを得ない。 | たいふうなのでちゅうしせざるをえない。 | 因颱風不得不取消。
～きり |  | 「自從～之後就（再也沒）」 | 動詞た形＋きり | 彼とは去年会ったきりだ。 | かれとはきょねんあったきりだ。 | 和他去年見過之後就沒再見。
～かのようだ |  | 「彷彿～一樣」 | 普通形＋かのようだ | 彼女は何も知らないかのように振る舞った。 | かのじょはなにもしらないかのようにふるまった。 | 她裝作什麼都不知道。
～に違いない | ～にちがいない | 「一定是～」 | 普通形＋に違いない | 電気がついている。誰かいるに違いない。 | でんきがついている。だれかいるにちがいない。 | 燈亮著，一定有人在。
～としても |  | 「即使～也～」 | 普通形＋としても | 本当だとしても、信じられない。 | ほんとうだとしても、しんじられない。 | 就算是真的也難以相信。
～わりに |  | 「與～不成比例、雖然～卻～」 | 普通形（な形＋な／名詞＋の）＋わりに | 値段のわりに味はいまいちだ。 | ねだんのわりにあじはいまいちだ。 | 以這個價錢味道普通。
～に限らず | ～にかぎらず | 「不限於～、不只～」 | 名詞＋に限らず | 子供に限らず大人も楽しめる。 | こどもにかぎらずおとなもたのしめる。 | 不只小孩，大人也能享受。
～ばかりか |  | 「不僅～甚至～」 | 普通形＋ばかりか | 彼は遅刻したばかりか、謝りもしなかった。 | かれはちこくしたばかりか、あやまりもしなかった。 | 他不僅遲到，還不道歉。
～どころか |  | 「別說～了、反而～」 | 普通形／名詞＋どころか | 貯金どころか、借金がある。 | ちょきんどころか、しゃっきんがある。 | 別說存款，還有負債。
～一方だ | ～いっぽうだ | 「一直不斷地～（單向變化）」 | 動詞辭書形＋一方だ | 物価は上がる一方だ。 | ぶっかはあがるいっぽうだ。 | 物價一直上漲。
～つつある |  | 「正在逐漸～」 | 動詞ます形＋つつある | 状況は改善しつつある。 | じょうきょうはかいぜんしつつある。 | 情況正逐漸好轉。
～かねる |  | 「難以～、無法～」（婉轉） | 動詞ます形＋かねる | その件については、お答えしかねます。 | そのけんについては、おこたえしかねます。 | 關於那件事恕難回答。
～かねない |  | 「有可能～（不好的事）」 | 動詞ます形＋かねない | 無理を続けると、体を壊しかねない。 | むりをつづけると、からだをこわしかねない。 | 一直勉強可能會弄壞身體。
～に過ぎない | ～にすぎない | 「只不過是～」 | 名詞／普通形＋に過ぎない | それは言い訳に過ぎない。 | それはいいわけにすぎない。 | 那只不過是藉口。
～に相違ない | ～にそういない | 「必定是～」（書面） | 普通形＋に相違ない | 犯人はこの中にいるに相違ない。 | はんにんはこのなかにいるにそういない。 | 犯人必定在這當中。
～得る／～得ない | ～うる／～えない | 「可能～／不可能～」 | 動詞ます形＋得る | それは十分あり得る話だ。 | それはじゅうぶんありうるはなしだ。 | 那完全有可能。
～まい |  | 「不會～吧／絕不～」（否定推測・意志） | 動詞辭書形＋まい | もう二度と遅刻するまいと決めた。 | もうにどとちこくするまいときめた。 | 決心絕不再遲到。
～ものの |  | 「雖然～但是～」 | 普通形＋ものの | 引き受けたものの、自信はない。 | ひきうけたものの、じしんはない。 | 雖然接下了，卻沒信心。

# === 增補批次 1 ===
～上で | ～うえで | 「在～之後（再）、在～方面」 | 動詞た形／名詞＋の＋上で | よく考えた上で返事します。 | よくかんがえたうえでへんじします。 | 仔細考慮後再答覆。
～上は | ～うえは | 「既然～就」 | 動詞辭書形／た形＋上は | 引き受けた上は、最後までやります。 | ひきうけたうえは、さいごまでやります。 | 既然接下了，就會做到最後。
～以上（は） | ～いじょう（は） | 「既然～」 | 動詞・形容詞普通形＋以上 | 約束した以上、守るべきだ。 | やくそくしたいじょう、まもるべきだ。 | 既然約定了就該遵守。
～からには |  | 「既然～就（一定）」 | 動詞普通形＋からには | やるからには全力を尽くす。 | やるからにはぜんりょくをつくす。 | 既然要做就全力以赴。
～次第 | ～しだい | 「一～就立刻」 | 動詞ます形＋次第 | 到着し次第、連絡します。 | とうちゃくししだい、れんらくします。 | 一到就聯絡你。
～次第だ／～次第で | ～しだいだ | 「取決於～、要看～」 | 名詞＋次第だ | 成功するかどうかは努力次第だ。 | せいこうするかどうかはどりょくしだいだ。 | 能否成功要看努力。
～だけあって |  | 「不愧是～、正因為～」 | 名詞／普通形＋だけあって | 元プロだけあって、動きが違う。 | もとプロだけあって、うごきがちがう。 | 不愧是前職業選手，動作就是不同。
～だけに |  | 「正因為～，更加～」 | 名詞／普通形＋だけに | 期待が大きかっただけに、失望も大きい。 | きたいがおおきかっただけに、しつぼうもおおきい。 | 正因為期待大，失望也大。
～に際して | ～にさいして | 「在～之際」（正式） | 動詞辭書形／名詞＋に際して | 入学に際して、必要な書類を集めます。 | にゅうがくにさいして、ひつようなしょるいをあつめます。 | 入學之際準備必要文件。
～に当たって | ～にあたって | 「在～的時候、值此～之際」 | 動詞辭書形／名詞＋に当たって | 開会に当たって、一言ご挨拶します。 | かいかいにあたって、ひとことごあいさつします。 | 值此開會之際，容我致詞。
～に先立って | ～にさきだって | 「在～之前」（正式） | 動詞辭書形／名詞＋に先立って | 公演に先立って、リハーサルを行います。 | こうえんにさきだって、リハーサルをおこないます。 | 公演前先進行彩排。
～に加えて | ～にくわえて | 「加上～、除～之外還」 | 名詞＋に加えて | 雨に加えて風も強くなってきた。 | あめにくわえてかぜもつよくなってきた。 | 除了下雨，風也變強了。
～に反して | ～にはんして | 「與～相反」 | 名詞＋に反して | 予想に反して、試験は難しかった。 | よそうにはんして、しけんはむずかしかった。 | 與預期相反，考試很難。
～にかけては |  | 「在～方面（很拿手）」 | 名詞＋にかけては | 料理にかけては彼女の右に出る者はいない。 | りょうりにかけてはかのじょのみぎにでるものはいない。 | 論做菜沒人比得過她。
～のみならず |  | 「不僅～而且」（正式） | 名詞／普通形＋のみならず | 国内のみならず海外でも人気だ。 | こくないのみならずかいがいでもにんきだ。 | 不僅國內，海外也很受歡迎。
～はもちろん |  | 「～自不必說，～也」 | 名詞＋はもちろん | 平日はもちろん、週末も営業しています。 | へいじつはもちろん、しゅうまつもえいぎょうしています。 | 平日不用說，週末也營業。
～ことなく |  | 「不～地（一直）」（正式） | 動詞辭書形＋ことなく | 彼は休むことなく働き続けた。 | かれはやすむことなくはたらきつづけた。 | 他不曾休息地持續工作。
～ぬく |  | 「～到底、徹底～」 | 動詞ます形＋ぬく | 最後まで走りぬきました。 | さいごまではしりぬきました。 | 跑完了全程。
～かのように |  | 「彷彿～似的」 | 普通形＋かのように | 何事もなかったかのように振る舞った。 | なにごともなかったかのようにふるまった。 | 表現得彷彿什麼都沒發生。
～に決まっている | ～にきまっている | 「一定是～、肯定～」 | 普通形（名詞・な形は語幹）＋に決まっている | そんな話、嘘に決まっている。 | そんなはなし、うそにきまっている。 | 那種話肯定是假的。
～ようがない |  | 「無法～、沒辦法～」 | 動詞ます形＋ようがない | 連絡先が分からず、知らせようがない。 | れんらくさきがわからず、しらせようがない。 | 不知道聯絡方式，沒辦法通知。
～ものだから |  | 「因為～（辯解）」 | 普通形（な形＋な／名詞＋な）＋ものだから | 道が混んでいたものだから、遅れました。 | みちがこんでいたものだから、おくれました。 | 因為路上塞車所以遲到了。
～にほかならない |  | 「無非是～、正是～」 | 名詞＋にほかならない | 成功は努力の結果にほかならない。 | せいこうはどりょくのけっかにほかならない。 | 成功正是努力的結果。
～を問わず | ～をとわず | 「不論～」 | 名詞＋を問わず | 年齢を問わず参加できます。 | ねんれいをとわずさんかできます。 | 不分年齡都能參加。
～はともかく |  | 「～姑且不論」 | 名詞＋はともかく | 見た目はともかく、味は最高だ。 | みためはともかく、あじはさいこうだ。 | 外觀先不說，味道是一流的。
