# JLPT N5 文法   格式： 句型 | 讀音(可空) | 中文意思 | 接續結構 | 例句 | 例句假名 | 例句中譯

～は～です |  | 「～是～」（斷定句） | 名詞＋は＋名詞＋です | わたしは学生です。 | わたしはがくせいです。 | 我是學生。
～は～ではありません |  | 「～不是～」（否定斷定） | 名詞＋は＋名詞＋ではありません | これは私のではありません。 | これはわたしのではありません。 | 這不是我的。
～は～ですか |  | 「～是～嗎？」（疑問） | 名詞＋は＋名詞＋ですか | あの人は先生ですか。 | あのひとはせんせいですか。 | 那個人是老師嗎？
～も |  | 「也」 | 名詞＋も | 私も日本語を勉強しています。 | わたしもにほんごをべんきょうしています。 | 我也在學日語。
～の～ |  | 「的」（所屬・修飾） | 名詞＋の＋名詞 | これは日本語の本です。 | これはにほんごのほんです。 | 這是日語的書。
～を＋他動詞 |  | 標示動作的受詞 | 名詞＋を＋他動詞 | ご飯を食べます。 | ごはんをたべます。 | 吃飯。
～が＋自動詞／存在 |  | 標示主語 | 名詞＋が＋動詞 | 雨が降っています。 | あめがふっています。 | 正在下雨。
～に（時間） |  | 表示動作發生的時間點 | 時間＋に | 七時に起きます。 | しちじにおきます。 | 七點起床。
～へ／～に（方向） |  | 「往、去」表示移動方向 | 場所＋へ／に＋行きます・来ます・帰ります | 学校へ行きます。 | がっこうへいきます。 | 去學校。
～で（場所） |  | 表示動作進行的場所 | 場所＋で＋動詞 | 図書館で勉強します。 | としょかんでべんきょうします。 | 在圖書館唸書。
～で（手段） |  | 「用、搭乘」表示方法或交通工具 | 名詞＋で | バスで行きます。 | バスでいきます。 | 搭公車去。
～と（共同） |  | 「和～一起」 | 名詞＋と＋動詞 | 友達と映画を見ます。 | ともだちとえいがをみます。 | 和朋友看電影。
～から～まで |  | 「從～到～」 | 名詞＋から＋名詞＋まで | 九時から五時まで働きます。 | くじからごじまではたらきます。 | 從九點工作到五點。
～ています |  | 表示正在進行或狀態的持續 | 動詞て形＋います | 今、新聞を読んでいます。 | いま、しんぶんをよんでいます。 | 現在正在看報。
～てください |  | 「請～」（請求・指示） | 動詞て形＋ください | ここに名前を書いてください。 | ここになまえをかいてください。 | 請在這裡寫名字。
～ないでください |  | 「請不要～」 | 動詞ない形＋でください | ここで写真を撮らないでください。 | ここでしゃしんをとらないでください。 | 請不要在這裡拍照。
～たいです |  | 「想要～」（說話者的願望） | 動詞ます形＋たいです | 日本へ行きたいです。 | にほんへいきたいです。 | 想去日本。
～ましょう |  | 「一起～吧」（邀約） | 動詞ます形＋ましょう | 一緒に昼ご飯を食べましょう。 | いっしょにひるごはんをたべましょう。 | 一起吃午餐吧。
～ませんか |  | 「要不要～？」（邀請） | 動詞ます形＋ませんか | 週末、公園へ行きませんか。 | しゅうまつ、こうえんへいきませんか。 | 週末要不要去公園？
～が欲しいです | ～がほしいです | 「想要～（東西）」 | 名詞＋が欲しいです | 新しい傘が欲しいです。 | あたらしいかさがほしいです。 | 想要一把新傘。
～があります／います |  | 「有～」（無生命／有生命的存在） | 名詞＋が＋あります（物）／います（人・動物） | 机の上に本があります。 | つくえのうえにほんがあります。 | 桌上有書。
～は～があります |  | 「～有～」表示所有 | 名詞１＋は＋名詞２＋があります | 私は車があります。 | わたしはくるまがあります。 | 我有車。
～より～のほうが |  | 「比起～，～比較…」 | 名詞１＋より＋名詞２＋のほうが＋形容詞 | 電車よりバスのほうが安いです。 | でんしゃよりバスのほうがやすいです。 | 比起電車，公車比較便宜。
～の中で～が一番 | ～のなかで～がいちばん | 「在～之中，～最…」 | 名詞＋の中で＋名詞＋が一番＋形容詞 | 果物の中でりんごが一番好きです。 | くだもののなかでりんごがいちばんすきです。 | 水果之中最喜歡蘋果。
形容詞＋名詞 |  | い形容詞・な形容詞修飾名詞 | い形容詞＋名詞／な形容詞＋な＋名詞 | 大きい犬と静かな町。 | おおきいいぬとしずかなまち。 | 大狗和安靜的城鎮。
～くない／～くありません |  | い形容詞的否定 | い形容詞（去い）＋くないです | この部屋は広くないです。 | このへやはひろくないです。 | 這房間不大。
～かった／～くなかった |  | い形容詞的過去式與過去否定 | い形容詞（去い）＋かったです／くなかったです | 旅行は楽しかったです。 | りょこうはたのしかったです。 | 旅行很開心。
～でした／～ではありませんでした |  | 名詞・な形容詞的過去與過去否定 | 名詞／な形容詞＋でした | 昨日は休みでした。 | きのうはやすみでした。 | 昨天是假日。
～ました／～ませんでした |  | 動詞的過去與過去否定 | 動詞ます形＋ました／ませんでした | 昨日、映画を見ました。 | きのう、えいがをみました。 | 昨天看了電影。
～ませんでした |  | 動詞過去否定「（過去）沒有～」 | 動詞ます形＋ませんでした | 朝ご飯を食べませんでした。 | あさごはんをたべませんでした。 | 沒吃早餐。
～ながら |  | 「一邊～一邊～」（同一人同時做兩個動作） | 動詞ます形＋ながら | 音楽を聞きながら勉強します。 | おんがくをききながらべんきょうします。 | 一邊聽音樂一邊唸書。
～てから |  | 「～之後（再）～」 | 動詞て形＋から | ご飯を食べてから、出かけます。 | ごはんをたべてから、でかけます。 | 吃完飯後再出門。
