# 情境會話   格式： 場景 | 日文 | 假名 | 中文 | 備註(可空)
# 自由行實用單字與句子。編輯後執行 python scripts/build_data.py，新增請加在檔案末端。

# --- 寒暄・基本 ---
基本 | すみません。 | すみません。 | 不好意思／謝謝。 | 叫住店員、道歉、道謝都能用，最萬用
基本 | ありがとうございます。 | ありがとうございます。 | 謝謝。 |
基本 | お願いします。 | おねがいします。 | 麻煩你了／拜託了。 | 點餐、請對方做某事時
基本 | 大丈夫です。 | だいじょうぶです。 | 沒關係／不用了。 | 語氣可婉拒，也可表示沒問題
基本 | いいえ、けっこうです。 | いいえ、けっこうです。 | 不用了，謝謝。 | 明確婉拒
基本 | 日本語が少し話せます。 | にほんごがすこしはなせます。 | 我會說一點日語。 |
基本 | もう一度お願いします。 | もういちどおねがいします。 | 請再說一次。 |
基本 | ゆっくり話してもらえますか。 | ゆっくりはなしてもらえますか。 | 可以說慢一點嗎？ |
基本 | 英語のメニューはありますか。 | えいごのメニューはありますか。 | 有英文菜單嗎？ | 也可把「メニュー」換成其他名詞
基本 | ここに書いてもらえますか。 | ここにかいてもらえますか。 | 可以幫我寫在這裡嗎？ | 聽不懂時很好用
基本 | 写真を撮ってもいいですか。 | しゃしんをとってもいいですか。 | 可以拍照嗎？ |
基本 | 写真を撮ってもらえますか。 | しゃしんをとってもらえますか。 | 可以幫我拍張照嗎？ |

# --- 機場・入境 ---
機場入境 | 観光で来ました。 | かんこうできました。 | 我是來觀光的。 | 入境審查官問來訪目的時
機場入境 | 五日間滞在します。 | いつかかんたいざいします。 | 我要待五天。 |
機場入境 | ホテルに泊まります。 | ホテルにとまります。 | 我住飯店。 | 問住宿地點時
機場入境 | 友達の家に泊まります。 | ともだちのいえにとまります。 | 我住朋友家。 |
機場入境 | これは友達へのお土産です。 | これはともだちへのおみやげです。 | 這是要給朋友的伴手禮。 | 海關檢查時
機場入境 | 申告するものはありません。 | しんこくするものはありません。 | 沒有需要申報的東西。 |
機場入境 | 荷物はこれだけです。 | にもつはこれだけです。 | 行李只有這些。 |

# --- 機場・領行李與服務 ---
機場・行李 | 荷物が出てきません。 | にもつがでてきません。 | 我的行李沒有出來。 |
機場・行李 | スーツケースが壊れています。 | スーツケースがこわれています。 | 行李箱壞了。 |
機場・行李 | 両替はどこでできますか。 | りょうがえはどこでできますか。 | 哪裡可以換錢？ |
機場・行李 | SIMカードを買いたいです。 | シムカードをかいたいです。 | 我想買 SIM 卡。 |
機場・行李 | 市内へのバス乗り場はどこですか。 | しないへのバスのりばはどこですか。 | 往市區的巴士站在哪裡？ |
機場・行李 | 荷物を預けたいです。 | にもつをあずけたいです。 | 我想寄放行李。 |

# --- 交通・電車 ---
交通・電車 | 新宿までの切符を一枚ください。 | しんじゅくまでのきっぷをいちまいください。 | 請給我一張到新宿的票。 |
交通・電車 | このICカードにチャージしてください。 | このアイシーカードにチャージしてください。 | 請幫這張 IC 卡加值。 |
交通・電車 | 渋谷へはどの線に乗ればいいですか。 | しぶやへはどのせんにのればいいですか。 | 去澀谷要搭哪條線？ |
交通・電車 | この電車は東京駅に止まりますか。 | このでんしゃはとうきょうえきにとまりますか。 | 這班車有停東京車站嗎？ |
交通・電車 | どこで乗り換えますか。 | どこでのりかえますか。 | 要在哪裡換車？ |
交通・電車 | 何番線ですか。 | なんばんせんですか。 | 是幾號月台？ |
交通・電車 | 次は何駅ですか。 | つぎはなにえきですか。 | 下一站是哪裡？ |
交通・電車 | 反対方向の電車に乗ってしまいました。 | はんたいほうこうのでんしゃにのってしまいました。 | 我搭錯方向了。 |
交通・電車 | 終電は何時ですか。 | しゅうでんはなんじですか。 | 末班車是幾點？ |
交通・電車 | 一日乗車券はありますか。 | いちにちじょうしゃけんはありますか。 | 有一日券嗎？ |

# --- 交通・巴士 ---
交通・巴士 | このバスは京都駅に行きますか。 | このバスはきょうとえきにいきますか。 | 這班公車有到京都車站嗎？ |
交通・巴士 | 料金は先払いですか、後払いですか。 | りょうきんはさきばらいですか、あとばらいですか。 | 車資是上車付還是下車付？ |
交通・巴士 | お釣りは出ますか。 | おつりはでますか。 | 會找零嗎？ | 日本巴士常需自備零錢
交通・巴士 | 清水寺で降りたいです。着いたら教えてください。 | きよみずでらでおりたいです。ついたらおしえてください。 | 我想在清水寺下車，到了請告訴我。 |
交通・巴士 | 次で降ります。 | つぎでおります。 | 我下一站下車。 |

# --- 交通・計程車 ---
交通・計程車 | この住所までお願いします。 | このじゅうしょまでおねがいします。 | 麻煩到這個地址。 | 給司機看手機地址
交通・計程車 | 駅まで行ってください。 | えきまでいってください。 | 請到車站。 |
交通・計程車 | だいたいいくらくらいかかりますか。 | だいたいいくらくらいかかりますか。 | 大概要多少錢？ |
交通・計程車 | ここで止めてください。 | ここでとめてください。 | 請在這裡停。 |
交通・計程車 | トランクを開けてもらえますか。 | トランクをあけてもらえますか。 | 可以幫我開後車廂嗎？ |
交通・計程車 | 領収書をください。 | りょうしゅうしょをください。 | 請給我收據。 |
交通・計程車 | 急いでいます。 | いそいでいます。 | 我趕時間。 |

# --- 住宿・入住 ---
住宿・入住 | チェックインをお願いします。 | チェックインをおねがいします。 | 我要辦入住。 |
住宿・入住 | ○○の名前で予約しています。 | ○○のなまえでよやくしています。 | 我用○○的名字訂了房。 |
住宿・入住 | 荷物を預かってもらえますか。 | にもつをあずかってもらえますか。 | 可以幫我保管行李嗎？ | 早到還沒能入住時
住宿・入住 | チェックインまで荷物だけ置かせてください。 | チェックインまでにもつだけおかせてください。 | 入住前想先寄放行李。 |
住宿・入住 | 朝食は何時から何時までですか。 | ちょうしょくはなんじからなんじまでですか。 | 早餐是幾點到幾點？ |
住宿・入住 | Wi-Fiのパスワードを教えてください。 | ワイファイのパスワードをおしえてください。 | 請告訴我 Wi-Fi 密碼。 |
住宿・入住 | 禁煙の部屋にしてもらえますか。 | きんえんのへやにしてもらえますか。 | 可以換非吸菸房嗎？ |
住宿・入住 | チェックアウトは何時ですか。 | チェックアウトはなんじですか。 | 退房是幾點？ |
住宿・入住 | レイトチェックアウトはできますか。 | レイトチェックアウトはできますか。 | 可以延後退房嗎？ |

# --- 住宿・問題與需求 ---
住宿・問題 | 部屋の鍵をなくしました。 | へやのかぎをなくしました。 | 我把房卡弄丟了。 |
住宿・問題 | エアコンがつきません。 | エアコンがつきません。 | 冷氣打不開。 |
住宿・問題 | お湯が出ません。 | おゆがでません。 | 沒有熱水。 |
