# 日本人這樣說   格式： 場景 | 日文 | 假名 | 中文 | 你可以這樣說／說明(可空)
# 課本 vs 現實日文、敬語場合、店員固定句與你該怎麼回。編輯後執行 python scripts/build_data.py，新增請加在檔案末端。

# --- 便利商店・收銀台 ---
超商結帳 | あたためますか？ | あたためますか？ | （店員問）要幫您加熱嗎？ | 要就說「お願いします」，不要就說「そのままで大丈夫です」
超商結帳 | レジ袋はご利用ですか？ | レジぶくろはごりようですか？ | （店員問）需要塑膠袋嗎？（現多需付費） | 要說「一枚ください」，不要說「大丈夫です」或「いりません」
超商結帳 | お箸はおつけしますか？ | おはしはおつけしますか？ | （店員問）需要附筷子嗎？ | 「お願いします」／「大丈夫です」
超商結帳 | スプーンはお付けしますか？ | スプーンはおつけしますか？ | （店員問）要附湯匙嗎？ | 同上
超商結帳 | ポイントカードはお持ちですか？ | ポイントカードはおもちですか？ | （店員問）有集點卡嗎？ | 沒有就說「持っていません」或「大丈夫です」
超商結帳 | 袋にお入れしてよろしいですか？ | ふくろにおいれしてよろしいですか？ | （店員問）幫您裝袋可以嗎？ | 「はい、お願いします」／「そのままで大丈夫です」
超商結帳 | 温かいものと冷たいもの、袋分けますか？ | あたたかいものとつめたいもの、ふくろわけますか？ | 冷熱要分開裝嗎？ | 「一緒で大丈夫です」／「分けてください」
超商結帳 | こちら、温めますとお時間五分ほどいただきます。 | こちら、あたためますとおじかんごふんほどいただきます。 | 這個加熱大概要五分鐘。 | 願意等就「待ちます」，不然「じゃあ、いいです」
超商結帳 | 千円お預かりします。 | せんえんおあずかりします。 | 收您一千日圓。 | 這是店員收錢的固定說法，不用回應
超商結帳 | 二百円のお返しです。 | にひゃくえんのおかえしです。 | 找您兩百日圓。 | 「お返し」＝找的錢，不是「還你」
超商結帳 | ちょうどいただきます。 | ちょうどいただきます。 | 剛好收您這些（不用找）。 |
超商結帳 | レシートはご入り用ですか？ | レシートはごいりようですか？ | 需要收據嗎？ | 「お願いします」／「大丈夫です」

# --- 餐廳・現場 ---
餐廳現場 | 何名様ですか？ | なんめいさまですか？ | 幾位？ | 舉手指比數字最快，或說「二人です」
餐廳現場 | 店内でお召し上がりですか、お持ち帰りですか？ | てんないでおめしあがりですか、おもちかえりですか？ | 內用還是外帶？ | 「店内で」／「持ち帰りで」
餐廳現場 | ただいま満席で、十五分ほどお待ちいただきます。 | ただいままんせきで、じゅうごふんほどおまちいただきます。 | 現在客滿，大約要等十五分鐘。 | 願意等就在名單上寫名字「名前を書きます」
餐廳現場 | あちらの機械で食券をお買い求めください。 | あちらのきかいでしょっけんをおかいもとめください。 | 請在那台機器買餐券。 | 拉麵、定食店常見，先買券再入座
餐廳現場 | ご注文はお決まりですか？ | ごちゅうもんはおきまりですか？ | 決定好要點什麼了嗎？ | 還沒好就說「もう少し待ってください」
餐廳現場 | お飲み物はいかがですか？ | おのみものはいかがですか？ | 要不要點飲料？ | 不要就說「お水で大丈夫です」
餐廳現場 | お通しです。 | おとおしです。 | 這是（不點也會上、要收費的）小菜。 | 居酒屋文化，等於基本消費，通常不能拒絕
餐廳現場 | ラストオーダーのお時間です。 | ラストオーダーのおじかんです。 | 現在是最後點餐時間。 | 要加點趁現在
餐廳現場 | 恐れ入りますが、こちらは現金のみとなります。 | おそれいりますが、こちらはげんきんのみとなります。 | 不好意思，本店只收現金。 |
餐廳現場 | かしこまりました。 | かしこまりました。 | 好的、我明白了。（店員版的「わかりました」） | 聽到這句代表對方接受你的要求了
餐廳現場 | 少々お待ちください。 | しょうしょうおまちください。 | 請稍等一下。 |
餐廳現場 | お待たせいたしました。 | おまたせいたしました。 | 讓您久等了。 |
餐廳現場 | 以上でよろしいでしょうか？ | いじょうでよろしいでしょうか？ | 這樣就好了嗎（還要加點嗎）？ | 「はい、以上で」／「あと、〜も」

# --- 購物・店員招呼 ---
購物招呼 | いらっしゃいませ。 | いらっしゃいませ。 | 歡迎光臨。 | 不用回應，看看就好
購物招呼 | 何かお探しですか？ | なにかおさがしですか？ | 在找什麼嗎？ | 只是逛就說「見ているだけです、ありがとう」
購物招呼 | ごゆっくりどうぞ。 | ごゆっくりどうぞ。 | 您慢慢看。 |
購物招呼 | 試着なさいますか？ | しちゃくなさいますか？ | 要試穿嗎？ | 「お願いします」／「大丈夫です」
購物招呼 | ただいまセール中でして、二点目が半額です。 | ただいまセールちゅうでして、にてんめがはんがくです。 | 現在特價，第二件半價。 |
購物招呼 | お会計、こちらのレジでも承れます。 | おかいけい、こちらのレジでもうけたまわれます。 | 這邊的收銀台也可以結帳。 |
購物招呼 | またのお越しをお待ちしております。 | またのおこしをおまちしております。 | 期待您再度光臨。 |

# --- 電車・站內廣播 ---
電車廣播 | まもなく一番線に電車がまいります。 | まもなくいちばんせんにでんしゃがまいります。 | 電車即將進入一號月台。 |
電車廣播 | 白線の内側までお下がりください。 | はくせんのうちがわまでおさがりください。 | 請退到白線內側。 |
電車廣播 | 駆け込み乗車は危険ですのでおやめください。 | かけこみじょうしゃはきけんですのでおやめください。 | 請勿衝進車廂，很危險。 |
電車廣播 | この電車は各駅停車です。 | このでんしゃはかくえきていしゃです。 | 這是每站都停的普通車。 | 「快速」「急行」「特急」停的站較少
電車廣播 | 次は終点、東京です。 | つぎはしゅうてん、とうきょうです。 | 下一站是終點站東京。 |
電車廣播 | お忘れ物のないようご注意ください。 | おわすれもののないようごちゅういください。 | 請注意不要遺留物品。 |
電車廣播 | ドアが閉まります。ご注意ください。 | ドアがしまります。ごちゅういください。 | 車門要關了，請注意。 |
電車廣播 | 優先席付近では携帯電話の電源をお切りください。 | ゆうせんせきふきんではけいたいでんわのでんげんをおきりください。 | 博愛座附近請關手機電源。 |

# --- 課本 vs 現實 ---
課本vs現實 | お手洗いはどこですか。 | おてあらいはどこですか。 | 廁所在哪裡？（比「トイレ」更得體） | 對店員、長輩用「お手洗い」比較有禮貌
課本vs現實 | ちょっと分からないです。 | ちょっとわからないです。 | 我不太清楚。（比直接說「分かりません」柔和） | 加「ちょっと」「〜んです」語氣會軟很多
課本vs現實 | 写真、撮っていただけますか。 | しゃしん、とっていただけますか。 | 可以請您幫忙拍張照嗎？（比「撮ってください」客氣） | 拜託陌生人用「〜ていただけますか」
課本vs現實 | すみません、いま大丈夫ですか。 | すみません、いまだいじょうぶですか。 | 不好意思，現在方便嗎？ | 搭話前先確認，比劈頭就問更自然
課本vs現實 | 大丈夫です、自分でやります。 | だいじょうぶです、じぶんでやります。 | 沒關係，我自己來。 | 「大丈夫です」在此是婉拒幫忙
課本vs現實 | けっこうです。 | けっこうです。 | 不用了。（明確但仍算禮貌的婉拒） | 「いいです」有時聽起來像「好啊」，容易誤會
課本vs現實 | ありがとうございます、助かりました。 | ありがとうございます、たすかりました。 | 謝謝，幫了我大忙。 | 比只說「ありがとう」更有溫度
課本vs現實 | すみません、通ります。 | すみません、とおります。 | 借過一下。 | 人多時要出站、下車前先講
課本vs現實 | お先にどうぞ。 | おさきにどうぞ。 | 您先請。 | 讓路、讓座、讓對方先時
課本vs現實 | いえいえ、とんでもないです。 | いえいえ、とんでもないです。 | 哪裡哪裡，別客氣。 | 被道謝或稱讚時的謙讓回應
課本vs現實 | お邪魔します。 | おじゃまします。 | 打擾了。 | 進入別人家、店家內場時說
課本vs現實 | よろしくお願いします。 | よろしくおねがいします。 | 那就麻煩你了／請多指教。 | 拜託事情、初次見面收尾都能用
課本vs現實 | 恐れ入ります。 | おそれいります。 | 不好意思／勞煩您了。 | 比「すみません」更客氣，常聽店員說
課本vs現實 | 大丈夫でしたか？ | だいじょうぶでしたか？ | 你還好嗎？（有沒有受傷、有沒有事） | 撞到人、對方跌倒時關心的說法
