# JLPT N4 單字   格式： 漢字 | 假名 | 中文釋義 | 詞性 | 例句 | 例句假名 | 例句中譯

# --- 名詞：生活・社會 ---
用事 | ようじ | 事情、要事 | 名詞 | 今日は用事があります。 | きょうはようじがあります。 | 今天有事。
約束 | やくそく | 約定 | 名詞 | 友達と約束をしました。 | ともだちとやくそくをしました。 | 和朋友約好了。
都合 | つごう | 方便、狀況 | 名詞 | 明日は都合が悪いです。 | あしたはつごうがわるいです。 | 明天不方便。
準備 | じゅんび | 準備 | 名詞 | 旅行の準備をします。 | りょこうのじゅんびをします。 | 做旅行的準備。
用意 | ようい | 準備 | 名詞 | 食事の用意ができました。 | しょくじのよういができました。 | 飯菜準備好了。
説明 | せつめい | 說明 | 名詞 | 先生が使い方を説明しました。 | せんせいがつかいかたをせつめいしました。 | 老師說明了用法。
返事 | へんじ | 回覆、答覆 | 名詞 | 早めに返事をください。 | はやめにへんじをください。 | 請儘早回覆。
連絡 | れんらく | 聯絡 | 名詞 | 後で連絡します。 | あとでれんらくします。 | 之後聯絡你。
相談 | そうだん | 商量 | 名詞 | 先生に相談しました。 | せんせいにそうだんしました。 | 找老師商量了。
経験 | けいけん | 經驗 | 名詞 | いい経験になりました。 | いいけいけんになりました。 | 成了很好的經驗。
理由 | りゆう | 理由 | 名詞 | 遅れた理由を教えてください。 | おくれたりゆうをおしえてください。 | 請告訴我遲到的理由。
原因 | げんいん | 原因 | 名詞 | 火事の原因はまだ分かりません。 | かじのげんいんはまだわかりません。 | 火災原因還不清楚。
意見 | いけん | 意見 | 名詞 | 意見を聞かせてください。 | いけんをきかせてください。 | 請讓我聽聽你的意見。
興味 | きょうみ | 興趣 | 名詞 | 日本の文化に興味があります。 | にほんのぶんかにきょうみがあります。 | 對日本文化有興趣。
趣味 | しゅみ | 嗜好 | 名詞 | 趣味は読書です。 | しゅみはどくしょです。 | 嗜好是閱讀。
生活 | せいかつ | 生活 | 名詞 | 日本の生活に慣れました。 | にほんのせいかつになれました。 | 習慣了日本的生活。
文化 | ぶんか | 文化 | 名詞 | 外国の文化を学びます。 | がいこくのぶんかをまなびます。 | 學習外國文化。
社会 | しゃかい | 社會 | 名詞 | 社会のルールを守ります。 | しゃかいのルールをまもります。 | 遵守社會規範。
規則 | きそく | 規則 | 名詞 | 会社の規則は厳しいです。 | かいしゃのきそくはきびしいです。 | 公司規定很嚴。
自由 | じゆう | 自由 | 名詞 | 時間は自由に使ってください。 | じかんはじゆうにつかってください。 | 時間請自由運用。
機会 | きかい | 機會 | 名詞 | いい機会がありませんでした。 | いいきかいがありませんでした。 | 沒有好機會。
予定 | よてい | 預定、計畫 | 名詞 | 来週の予定を立てます。 | らいしゅうのよていをたてます。 | 制定下週的計畫。
予約 | よやく | 預約 | 名詞 | レストランを予約しました。 | レストランをよやくしました。 | 預約了餐廳。
受付 | うけつけ | 櫃檯、受理 | 名詞 | 受付で名前を書きます。 | うけつけでなまえをかきます。 | 在櫃檯寫名字。
案内 | あんない | 導覽、帶路 | 名詞 | 町を案内します。 | まちをあんないします。 | 帶你逛市區。
参加 | さんか | 參加 | 名詞 | 会議に参加します。 | かいぎにさんかします。 | 參加會議。
出席 | しゅっせき | 出席 | 名詞 | 授業に出席してください。 | じゅぎょうにしゅっせきしてください。 | 請出席課程。
欠席 | けっせき | 缺席 | 名詞 | 病気で欠席しました。 | びょうきでけっせきしました。 | 因病缺席。
遅刻 | ちこく | 遲到 | 名詞 | 電車が遅れて遅刻しました。 | でんしゃがおくれてちこくしました。 | 電車誤點所以遲到了。

# --- 名詞：職場・學習 ---
仕事 | しごと | 工作 | 名詞 | 仕事が終わりました。 | しごとがおわりました。 | 工作結束了。
残業 | ざんぎょう | 加班 | 名詞 | 今日は残業があります。 | きょうはざんぎょうがあります。 | 今天要加班。
会議 | かいぎ | 會議 | 名詞 | 会議は三時からです。 | かいぎはさんじからです。 | 會議三點開始。
社長 | しゃちょう | 社長、老闆 | 名詞 | 社長に報告します。 | しゃちょうにほうこくします。 | 向社長報告。
部長 | ぶちょう | 部長、經理 | 名詞 | 部長はまだ会社にいます。 | ぶちょうはまだかいしゃにいます。 | 部長還在公司。
同僚 | どうりょう | 同事 | 名詞 | 同僚と昼ご飯を食べます。 | どうりょうとひるごはんをたべます。 | 和同事吃午餐。
給料 | きゅうりょう | 薪水 | 名詞 | 給料日は二十五日です。 | きゅうりょうびはにじゅうごにちです。 | 發薪日是二十五號。
